,filename,category,DARK_BLUE,LIGHT_BLUE,CYAN,VIOLET,PURPLE,PINK,ORANGE,RED,YELLOW
0,images\daytime\daytime_1.jpg,daytime,1797,34733,3248,33590,9839,1796,130,69,1198
1,images\daytime\daytime_10.jpg,daytime,4494,30977,18520,2911,19003,3808,270,2915,3502
2,images\daytime\daytime_11.jpg,daytime,1066,15882,0,0,8132,9580,22267,25936,3537
3,images\daytime\daytime_12.jpg,daytime,11608,15578,11866,16285,13488,211,6511,21449,204
4,images\daytime\daytime_13.jpg,daytime,7467,10338,10,4260,24916,23944,114,1659,12
5,images\daytime\daytime_14.jpg,daytime,154,32930,15481,11281,3069,21786,982,601,116
6,images\daytime\daytime_15.jpg,daytime,1465,23913,7940,10536,19932,305,2317,13103,6889
7,images\daytime\daytime_2.jpg,daytime,7258,40315,0,326,17808,13305,644,4082,862
8,images\daytime\daytime_3.jpg,daytime,9959,48198,12771,3919,9241,4889,478,47,7698
9,images\daytime\daytime_4.jpg,daytime,0,63715,22359,0,0,326,0,0,0
10,images\daytime\daytime_5.jpg,daytime,344,46776,2663,16240,0,14977,0,0,0
11,images\daytime\daytime_6.jpg,daytime,0,86818,5316,18312,0,19154,0,0,0
12,images\daytime\daytime_7.jpg,daytime,8975,7638,813,17530,27942,2636,0,0,20506
13,images\daytime\daytime_8.jpg,daytime,6987,17016,297,336,14333,9996,2982,4478,2975
14,images\daytime\daytime_9.jpg,daytime,307,15057,239,1039,8248,25342,3691,5613,26144
15,images\night\night_1.jpg,night,71151,244,190,1865,10528,67,208,1466,321
16,images\night\night_10.jpg,night,51160,407,420,24566,9369,8,21,449,0
17,images\night\night_11.jpg,night,43583,185,0,5,25821,386,538,560,1642
18,images\night\night_12.jpg,night,43046,15,0,30,36806,27,670,5721,85
19,images\night\night_13.jpg,night,74472,19,115,7584,967,68,145,2544,126
20,images\night\night_14.jpg,night,33411,8289,0,18077,29922,1021,0,0,0
21,images\night\night_15.jpg,night,33091,210,0,191,23266,85,9182,4814,9801
22,images\night\night_2.jpg,night,72402,10,0,2122,11864,0,0,0,2
23,images\night\night_3.jpg,night,63792,2,0,24962,60474,51,4476,7635,608
24,images\night\night_4.jpg,night,46964,1805,1,8282,29053,246,0,0,49
25,images\night\night_5.jpg,night,32223,4127,72,6330,37552,797,550,720,1509
26,images\night\night_6.jpg,night,35330,0,0,0,49531,2,603,856,78
27,images\night\night_7.jpg,night,34360,12,0,0,48254,254,512,2282,726
28,images\night\night_8.jpg,night,24286,280,9,225,55310,63,26,5409,432
29,images\night\night_9.jpg,night,47366,4492,1201,12120,20898,323,0,0,0
30,images\sunset\sunset_1.jpg,sunset,2580,0,0,0,16441,0,8556,64223,0
31,images\sunset\sunset_10.jpg,sunset,5302,0,0,0,24640,12648,21871,20288,1651
32,images\sunset\sunset_11.jpg,sunset,16483,3,0,0,22041,9640,8671,20024,9538
33,images\sunset\sunset_12.jpg,sunset,850,3,0,0,15138,22,11457,51636,18094
34,images\sunset\sunset_13.jpg,sunset,30904,0,0,0,15098,0,6413,32118,1867
35,images\sunset\sunset_14.jpg,sunset,168,10466,1,3361,26184,8091,2928,9506,20295
36,images\sunset\sunset_15.jpg,sunset,5882,321,0,0,41782,436,14090,3790,12539
37,images\sunset\sunset_2.jpg,sunset,75405,12889,1370,24091,78228,33017,15153,14011,8996
38,images\sunset\sunset_3.jpg,sunset,6747,0,0,0,30147,27,17023,11751,7025
39,images\sunset\sunset_4.jpg,sunset,4116,0,0,0,12902,43,23992,29834,1833
40,images\sunset\sunset_5.jpg,sunset,4287,10468,11024,2227,15418,205,24421,13027,15763
41,images\sunset\sunset_6.jpg,sunset,12375,239,5,7019,29175,57,11910,2249,23371
42,images\sunset\sunset_7.jpg,sunset,8991,3306,11,111,114458,818,33954,17878,19193
43,images\sunset\sunset_8.jpg,sunset,13237,490,3,2007,38486,11306,4987,12269,3615
44,images\sunset\sunset_9.jpg,sunset,4125,99,0,334,29315,13729,12565,9901,2652
